#TYPE Selected.System.IO.DirectoryInfo
"Name","CreationTime"
"Week9","10/25/2023 1:39:19 PM"
"Assignment1.ps1","10/25/2023 12:57:38 PM"
"Assignment1Part2.ps1","10/25/2023 1:37:07 PM"
"Assignment1.ps1","10/25/2023 2:21:30 PM"
"Assignment1Part2.ps1","10/25/2023 2:20:25 PM"
"Week9","10/25/2023 1:18:46 PM"
"outfolder","10/25/2023 2:24:15 PM"
"Assignment1.ps1","10/25/2023 1:20:25 PM"
"Assignment1Part2.ps1","10/25/2023 2:15:00 PM"
"ProcessManagement.ps1","10/25/2023 2:39:00 PM"
"out.log","10/25/2023 2:24:15 PM"
"Week9Part1.PNG","10/25/2023 2:24:04 PM"
"Week9Part2.PNG","10/25/2023 2:25:58 PM"
